Candidate_ID,Resume_Difficulty,Knows_Rejection_Reason,Applied_No_Response,Resume_Matches_JD,Knows_Required_Skills,ATS_Aware,Guidance_Generic,AI_Tool_Helps,Applications,Shortlists
C001,4,No,Yes,No,No,No,Yes,Yes,45,2
C002,3,No,Yes,No,No,Yes,Yes,Yes,38,1
C003,5,No,Yes,No,No,No,Yes,Yes,52,0
C004,2,Yes,No,Yes,Yes,Yes,No,Yes,18,6
C005,4,No,Yes,No,No,No,Yes,Yes,41,1
C006,3,No,Yes,No,Yes,No,Yes,Yes,35,2
C007,5,No,Yes,No,No,No,Yes,Yes,60,0
C008,2,Yes,No,Yes,Yes,Yes,No,Yes,22,7
C009,4,No,Yes,No,No,No,Yes,Yes,48,1
C010,3,No,Yes,No,Yes,No,Yes,Yes,40,2
C011,5,No,Yes,No,No,No,Yes,Yes,55,0
C012,2,Yes,No,Yes,Yes,Yes,No,Yes,20,6
C013,4,No,Yes,No,No,No,Yes,Yes,43,1
C014,3,No,Yes,No,Yes,No,Yes,Yes,36,2
C015,5,No,Yes,No,No,No,Yes,Yes,58,0
C016,2,Yes,No,Yes,Yes,Yes,No,Yes,19,7
C017,4,No,Yes,No,No,No,Yes,Yes,46,1
C018,3,No,Yes,No,Yes,No,Yes,Yes,37,2
C019,5,No,Yes,No,No,No,Yes,Yes,62,0
C020,2,Yes,No,Yes,Yes,Yes,No,Yes,21,6
C021,4,No,Yes,No,No,No,Yes,Yes,44,1
C022,3,No,Yes,No,Yes,No,Yes,Yes,39,2
C023,5,No,Yes,No,No,No,Yes,Yes,56,0
C024,2,Yes,No,Yes,Yes,Yes,No,Yes,23,7
C025,4,No,Yes,No,No,No,Yes,Yes,47,1
C026,3,No,Yes,No,Yes,No,Yes,Yes,34,2
C027,5,No,Yes,No,No,No,Yes,Yes,61,0
C028,2,Yes,No,Yes,Yes,Yes,No,Yes,24,6
C029,4,No,Yes,No,No,No,Yes,Yes,42,1
C030,3,No,Yes,No,Yes,No,Yes,Yes,33,2
C031,5,No,Yes,No,No,No,Yes,Yes,59,0
C032,2,Yes,No,Yes,Yes,Yes,No,Yes,17,7
C033,4,No,Yes,No,No,No,Yes,Yes,49,1
C034,3,No,Yes,No,Yes,No,Yes,Yes,32,2
C035,5,No,Yes,No,No,No,Yes,Yes,57,0
C036,2,Yes,No,Yes,Yes,Yes,No,Yes,25,6
C037,4,No,Yes,No,No,No,Yes,Yes,50,1
C038,3,No,Yes,No,Yes,No,Yes,Yes,31,2
C039,5,No,Yes,No,No,No,Yes,Yes,63,0
C040,2,Yes,No,Yes,Yes,Yes,No,Yes,26,7
C041,4,No,Yes,No,No,No,Yes,Yes,51,1
C042,3,No,Yes,No,Yes,No,Yes,Yes,30,2
C043,5,No,Yes,No,No,No,Yes,Yes,64,0
C044,2,Yes,No,Yes,Yes,Yes,No,Yes,16,6
C045,4,No,Yes,No,No,No,Yes,Yes,53,1
C046,3,No,Yes,No,Yes,No,Yes,Yes,29,2
C047,5,No,Yes,No,No,No,Yes,Yes,65,0
C048,2,Yes,No,Yes,Yes,Yes,No,Yes,27,7
C049,4,No,Yes,No,No,No,Yes,Yes,54,1
C050,3,No,Yes,No,Yes,No,Yes,Yes,28,2
C051,4,No,Yes,No,No,No,Yes,Yes,45,2
C052,3,No,Yes,No,No,Yes,Yes,Yes,38,1
C053,5,No,Yes,No,No,No,Yes,Yes,52,0
C054,2,Yes,No,Yes,Yes,Yes,No,Yes,18,6
C055,4,No,Yes,No,No,No,Yes,Yes,41,1
C056,3,No,Yes,No,Yes,No,Yes,Yes,35,2
C057,5,No,Yes,No,No,No,Yes,Yes,60,0
C058,2,Yes,No,Yes,Yes,Yes,No,Yes,22,7
C059,4,No,Yes,No,No,No,Yes,Yes,48,1
C060,3,No,Yes,No,Yes,No,Yes,Yes,40,2
C061,5,No,Yes,No,No,No,Yes,Yes,55,0
C062,2,Yes,No,Yes,Yes,Yes,No,Yes,20,6
C063,4,No,Yes,No,No,No,Yes,Yes,43,1
C064,3,No,Yes,No,Yes,No,Yes,Yes,36,2
C065,5,No,Yes,No,No,No,Yes,Yes,58,0
C066,2,Yes,No,Yes,Yes,Yes,No,Yes,19,7
C067,4,No,Yes,No,No,No,Yes,Yes,46,1
C068,3,No,Yes,No,Yes,No,Yes,Yes,37,2
C069,5,No,Yes,No,No,No,Yes,Yes,62,0
C070,2,Yes,No,Yes,Yes,Yes,No,Yes,21,6
C071,4,No,Yes,No,No,No,Yes,Yes,44,1
C072,3,No,Yes,No,Yes,No,Yes,Yes,39,2
C073,5,No,Yes,No,No,No,Yes,Yes,56,0
C074,2,Yes,No,Yes,Yes,Yes,No,Yes,23,7
C075,4,No,Yes,No,No,No,Yes,Yes,47,1
C076,3,No,Yes,No,Yes,No,Yes,Yes,34,2
C077,5,No,Yes,No,No,No,Yes,Yes,61,0
C078,2,Yes,No,Yes,Yes,Yes,No,Yes,24,6
C079,4,No,Yes,No,No,No,Yes,Yes,42,1
